experiment	transfer_h	strain	fluor	plant	germ_plate	strain_number	abs_600	bio_rep	tech_rep	CFU	dilution	mL_plated	total_volume	CFU_mL	CFU_well
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	A	11	1	0.005	0.5	22000	11000
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	B	11	1	0.005	0.5	22000	11000
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	C	9	1	0.005	0.5	18000	9000
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	A	27	0	0.005	0.5	5400	2700
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	B	28	0	0.005	0.5	5600	2800
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	C	20	0	0.005	0.5	4000	2000
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	A	32	0	0.005	0.5	6400	3200
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	B	34	0	0.005	0.5	6800	3400
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	C	34	0	0.005	0.5	6800	3400
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	A	7	0	0.005	0.5	1400	700
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	B	2	0	0.005	0.5	400	200
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	C	3	0	0.005	0.5	600	300
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	A	11	0	0.005	0.5	2200	1100
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	B	11	0	0.005	0.5	2200	1100
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	C	10	0	0.005	0.5	2000	1000
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	A	3	0	0.005	0.5	600	300
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	B	10	0	0.005	0.5	2000	1000
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	C	10	0	0.005	0.5	2000	1000
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	3	A	11	2	0.005	0.5	220000	110000
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	3	B	11	2	0.005	0.5	220000	110000
